staffel_id,verband,gebiet,ligastufe,spielklasse,staffel,mannschaften,spiele_gesamt,tore_gesamt,punkte_gesamt,tabellenfuehrer,tabellenfuehrer_punkte,quelle
12889,HK Köln-Rheinberg,HK Köln-Rheinberg,9,Bezirksliga / Kreisliga / Regionsliga,Regionsliga Männer · HK Köln-Rheinberg,14,0,0,0,Brühler TV II,0,fussball.de
12960,HK Oberberg,HK Oberberg,9,Bezirksliga / Kreisliga / Regionsliga,Regionsliga Männer · HK Oberberg,8,0,0,0,Blue-White-Dynamite VfL Gummersbach e.V.,0,fussball.de
13017,HK Rhein-Ruhr,HK Rhein-Ruhr,9,Bezirksliga / Kreisliga / Regionsliga,REGIONSLIGA MÄNNER,12,0,0,0,Alstadener TUS III,0,fussball.de
13065,HK Wesel,HK Wesel,9,Bezirksliga / Kreisliga / Regionsliga,Regionsliga Männer,9,0,0,0,HC TV Rhede III,0,fussball.de
13116,HR Leipzig,HR Leipzig,9,Bezirksliga / Kreisliga / Regionsliga,RL Männer · HR Leipzig,12,0,0,0,Bornaer HV 09,0,fussball.de
13110,HR Ostsachsen,HR Ostsachsen,9,Bezirksliga / Kreisliga / Regionsliga,RL Männer · HR Ostsachsen,10,0,0,0,HSV 1923 Pulsnitz III,0,fussball.de
13103,HR Sachsen-Mitte,HR Sachsen-Mitte,9,Bezirksliga / Kreisliga / Regionsliga,RL Männer,11,0,0,0,ESV Dresden III,0,fussball.de
13096,HR Südwestsachsen,HR Südwestsachsen,9,Bezirksliga / Kreisliga / Regionsliga,RL Männer · HR Südwestsachsen,12,0,0,0,HC Annaberg-B.,0,fussball.de
13440,Hamburger Handballverband,Hamburger Handballverband,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer Gruppe 1 (141),9,0,0,0,FC St. Pauli VI,0,fussball.de
13442,Hamburger Handballverband,Hamburger Handballverband,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer Gruppe 2 (142),10,0,0,0,AMTV Hamburg III,0,fussball.de
12969,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer - Staffel A,9,0,0,0,HFF Munkbrarup II,0,fussball.de
12970,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer - Staffel B,8,0,0,0,HG Owschlag-Kropp-Tetenhusen,0,fussball.de
12971,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer - Staffel C,10,0,0,0,Eckernförder MTV,0,fussball.de
12972,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer - Staffel D,9,0,0,0,FT Adler KIEL II,0,fussball.de
12973,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer - Staffel E,10,1,51,2,DIE HAIE I HSG Horst/Kiebitzreihe III,2,fussball.de
12974,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer - Staffel F,8,0,0,0,ATSV Stockelsdorf III,0,fussball.de
12975,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer - Staffel G,10,0,0,0,ATSV Stockelsdorf II,0,fussball.de
13295,Handballkreis Bielefeld-Herford,Handballkreis Bielefeld-Herford,9,Bezirksliga / Kreisliga / Regionsliga,Männer Kreisliga Bielefeld-Herford,10,0,0,0,HSG EGB Bielefeld II,0,fussball.de
12777,Handballkreis Dortmund,Handballkreis Dortmund,9,Bezirksliga / Kreisliga / Regionsliga,HKDO-KL-M,10,0,0,0,DJK Ewaldi Aplerbeck H1,0,fussball.de
12456,Handballkreis Gütersloh,Handballkreis Gütersloh,9,Bezirksliga / Kreisliga / Regionsliga,HBKGT Männer Kreisliga,12,0,0,0,FC Greffen,0,fussball.de
13011,Handballkreis Hagen/Ennepe-Ruhr,Handballkreis Hagen/Ennepe-Ruhr,9,Bezirksliga / Kreisliga / Regionsliga,MÄNNER KREISLIGA HKHR,11,0,0,0,CVJM Gevelsberg,0,fussball.de
12689,Handballkreis Hellweg,Handballkreis Hellweg,9,Bezirksliga / Kreisliga / Regionsliga,Männer Kreisliga HKH,9,0,0,0,2. Herren,0,fussball.de
12710,Handballkreis Industrie,Handballkreis Industrie,9,Bezirksliga / Kreisliga / Regionsliga,HKI-M-Kreisliga,13,0,0,0,DJK Westfalia Welper E.V. II,0,fussball.de
15069,Handballkreis Iserlohn-Arnsberg,Handballkreis Iserlohn-Arnsberg,9,Bezirksliga / Kreisliga / Regionsliga,HKISAR Kreisliga MÄNNER,10,0,0,0,HSG Schwerte Westhofen 1.H,0,fussball.de
15898,Handballkreis Lenne-Sieg,Handballkreis Lenne-Sieg,9,Bezirksliga / Kreisliga / Regionsliga,HKLesi Kreisliga A Männer,10,0,0,0,HSG Lüdenscheid e.V. II,0,fussball.de
15787,Handballkreis Lenne-Sieg,Handballkreis Lenne-Sieg,9,Bezirksliga / Kreisliga / Regionsliga,KLB Süd 3 Runde,5,0,0,0,HSG Siegerland II,0,fussball.de
13093,Handballkreis Lenne-Sieg,Handballkreis Lenne-Sieg,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga B Nord,6,0,0,0,HSG Lüdenscheid E.V. III,0,fussball.de
13094,Handballkreis Lenne-Sieg,Handballkreis Lenne-Sieg,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga B Süd,5,0,0,0,HSG Siegerland II,0,fussball.de
13126,Handballkreis Lippe,Handballkreis Lippe,9,Bezirksliga / Kreisliga / Regionsliga,HBKLIP Kreisliga Männer,12,0,0,0,FC Stukenbrock,0,fussball.de
13016,Handballkreis Minden-Lübbecke,Handballkreis Minden-Lübbecke,9,Bezirksliga / Kreisliga / Regionsliga,HBKML Männer Kreisliga,14,0,0,0,HSG EURO 2,0,fussball.de
13227,Handballkreis Münsterland,Handballkreis Münsterland,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Münsterland Männer,12,0,0,0,BSV Roxel,0,fussball.de
12486,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,9,Bezirksliga / Kreisliga / Regionsliga,M-BZL 1,12,2,123,4,SF Budenheim 3,2,fussball.de
12487,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,9,Bezirksliga / Kreisliga / Regionsliga,M-BZL 2,12,4,224,8,TV 03 Wörth 2,2,fussball.de
14382,Handballverband SAAR,Handballverband SAAR,9,Bezirksliga / Kreisliga / Regionsliga,Bezirksliga Männer,13,0,0,0,DJK Marpingen 2,0,fussball.de
12671,KÜS Ostwestfalenlippe,KÜS Ostwestfalenlippe,9,Bezirksliga / Kreisliga / Regionsliga,OWL Männer Bezirksliga Staffel 1,14,1,53,2,VFL Handball Mennighüffen II,2,fussball.de
12672,KÜS Ostwestfalenlippe,KÜS Ostwestfalenlippe,9,Bezirksliga / Kreisliga / Regionsliga,OWL Männer Bezirksliga Staffel 2,14,0,0,0,HSG Altenbeken/Buke,0,fussball.de
14548,Mosel/Eifel-Nahe/Hunsrück,Mosel/Eifel-Nahe/Hunsrück,9,Bezirksliga / Kreisliga / Regionsliga,Bezirksliga Männer Mosel/Eifel-Nahe/Hunsrück,5,0,0,0,DJK St. Matthias Trier II,0,fussball.de
15020,Rhein/Westerwald,Rhein/Westerwald,9,Bezirksliga / Kreisliga / Regionsliga,Bezirksliga Männer Rhein/Westerwald,8,0,0,0,DJK Betzdorf,0,fussball.de
14417,Bergischer HK,Bergischer HK,10,Bezirksklasse / Kreisklasse / Regionsklasse,1. Regionsklasse Männer BHK,10,0,0,0,Bergischer HC,0,fussball.de
14820,HK Aachen-Düren,HK Aachen-Düren,10,Bezirksklasse / Kreisklasse / Regionsklasse,Regionsklasse,11,0,0,0,BSC Setterich,0,fussball.de
17301,HK Bonn-Euskirchen-Sieg,HK Bonn-Euskirchen-Sieg,10,Bezirksklasse / Kreisklasse / Regionsklasse,Kreisklasse Männer,9,0,0,0,Godesberger TV II,0,fussball.de
15941,HK Düsseldorf,HK Düsseldorf,10,Bezirksklasse / Kreisklasse / Regionsklasse,1. Regionsklasse Männer (HK Düsseldorf),9,0,0,0,HSG JAHN 05/Sc WEST 1m,0,fussball.de
16888,HK Essen,HK Essen,10,Bezirksklasse / Kreisklasse / Regionsklasse,Regionsklasse Essen Männer,10,0,0,0,DJK GRÜN Weiss Werden 3.M,0,fussball.de
16080,HK Essen,HK Essen,10,Bezirksklasse / Kreisklasse / Regionsklasse,Regionsklasse Wuppertal Männer,9,0,0,0,Cronenberger TG IV,0,fussball.de
15676,HK Krefeld-Grenzland,HK Krefeld-Grenzland,10,Bezirksklasse / Kreisklasse / Regionsklasse,BK Männer,14,0,0,0,ASV Süchteln 3M,0,fussball.de
