rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
102,MTV Lübeck,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,2,1,1,0,0,32,20,12,2,2.0,,fussball.de
103,TV Homburg 1,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,1,1,1,0,0,36,26,10,2,2.0,,fussball.de
104,HSG Schülp/Westerrönfeld/Rendsburg,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,3,1,1,0,0,30,22,8,2,2.0,,fussball.de
105,TG Osthofen,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,2,1,1,0,0,33,26,7,2,2.0,,fussball.de
106,HSG Holsteinische Schweiz,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,4,1,1,0,0,33,30,3,2,2.0,,fussball.de
107,SF Budenheim,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,3,1,1,0,0,29,26,3,2,2.0,,fussball.de
108,Südpfalz Tiger,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,4,1,1,0,0,28,26,2,2,2.0,,fussball.de
109,MSG HF Illtal,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,5,1,0,1,0,27,27,0,1,1.0,,fussball.de
110,SG Zweibrücken,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,6,1,0,1,0,27,27,0,1,1.0,,fussball.de
111,Allgemeiner Sportverein Hamm-Westfalen e.V. II,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
112,BTB Aachen,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
113,Borussia Mönchengladbach,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
114,CVJM Rödinghausen E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
115,DJK Unitas HAAN E.V.,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
116,HC Gelpe/Strombach,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,4,0,0,0,0,0,0,0,0,0.0,,fussball.de
117,HC Weiden 2018,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,5,0,0,0,0,0,0,0,0,0.0,,fussball.de
118,HC Westfalia Herne E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
119,HSG Kastellaun/Simmern,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,7,0,0,0,0,0,0,0,0,0.0,,fussball.de
120,HSG Ostsee Neustadt/Grömitz,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,5,0,0,0,0,0,0,0,0,0.0,,fussball.de
121,HSG Refrath/Hand,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,6,0,0,0,0,0,0,0,0,0.0,,fussball.de
122,HSG Rhein-Nahe Bingen,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
123,HSG Siebengebirge-Thomasberg,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,7,0,0,0,0,0,0,0,0,0.0,,fussball.de
124,HSG am Hallo I Herren,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
125,HT Norderstedt,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,6,0,0,0,0,0,0,0,0,0.0,,fussball.de
126,HTV Hemer,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,4,0,0,0,0,0,0,0,0,0.0,,fussball.de
127,LIT 1912 Nordhemmern-Nettelstedt-Mindenerwald-Holzhausen II II,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,5,0,0,0,0,0,0,0,0,0.0,,fussball.de
128,OSC Rheinhausen,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
129,SG Flensburg-Handewitt II,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,7,0,0,0,0,0,0,0,0,0.0,,fussball.de
130,SG Hamburg-Nord,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
131,SG Langenfeld,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
